Date,Temperature,Type
1961-09-01,24.897411764705883,Historical
1961-10-01,22.75905882352941,Historical
1961-11-01,18.700705882352942,Historical
1961-12-01,14.865588235294117,Historical
1962-01-01,14.579264705882352,Historical
1962-02-01,17.909323529411765,Historical
1962-03-01,21.452529411764704,Historical
1962-04-01,25.312382352941174,Historical
1962-05-01,27.011705882352942,Historical
1962-06-01,27.24964705882353,Historical
1962-07-01,26.193117647058823,Historical
1962-08-01,25.222411764705882,Historical
1962-09-01,24.742323529411767,Historical
1962-10-01,22.496558823529412,Historical
1962-11-01,19.30779411764706,Historical
1962-12-01,16.159352941176472,Historical
1963-01-01,15.296558823529411,Historical
1963-02-01,18.658617647058826,Historical
1963-03-01,21.49614705882353,Historical
1963-04-01,24.420323529411768,Historical
1963-05-01,26.64008823529412,Historical
1963-06-01,27.058764705882353,Historical
1963-07-01,26.134529411764706,Historical
1963-08-01,25.220411764705883,Historical
1963-09-01,25.011970588235297,Historical
1963-10-01,23.184970588235295,Historical
1963-11-01,19.91614705882353,Historical
1963-12-01,16.58508823529412,Historical
1964-01-01,15.028235294117648,Historical
1964-02-01,17.82320588235294,Historical
1964-03-01,22.7405,Historical
1964-04-01,25.538,Historical
1964-05-01,26.756235294117648,Historical
1964-06-01,27.152735294117647,Historical
1964-07-01,25.263029411764705,Historical
1964-08-01,25.293352941176472,Historical
1964-09-01,24.762235294117648,Historical
1964-10-01,23.329794117647058,Historical
1964-11-01,19.323382352941177,Historical
1964-12-01,16.19020588235294,Historical
1965-01-01,16.328558823529413,Historical
1965-02-01,17.593617647058824,Historical
1965-03-01,20.919470588235296,Historical
1965-04-01,24.194411764705883,Historical
1965-05-01,26.794970588235294,Historical
1965-06-01,27.553970588235295,Historical
1965-07-01,25.601617647058823,Historical
1965-08-01,25.08879411764706,Historical
1965-09-01,24.850735294117648,Historical
1965-10-01,23.234058823529413,Historical
1965-11-01,19.982882352941175,Historical
1965-12-01,16.49891176470588,Historical
1966-01-01,16.113323529411765,Historical
1966-02-01,19.270088235294118,Historical
1966-03-01,21.989117647058823,Historical
1966-04-01,25.286117647058827,Historical
1966-05-01,27.54744117647059,Historical
1966-06-01,26.98941176470588,Historical
1966-07-01,26.283235294117645,Historical
1966-08-01,25.45329411764706,Historical
1966-09-01,24.82644117647059,Historical
1966-10-01,22.917411764705882,Historical
1966-11-01,20.20664705882353,Historical
1966-12-01,16.267676470588235,Historical
1967-01-01,15.505735294117649,Historical
1967-02-01,18.738323529411765,Historical
1967-03-01,20.920735294117648,Historical
1967-04-01,24.467882352941178,Historical
1967-05-01,27.04208823529412,Historical
1967-06-01,27.417617647058826,Historical
1967-07-01,25.828911764705882,Historical
1967-08-01,25.182617647058827,Historical
1967-09-01,24.77988235294118,Historical
1967-10-01,22.524823529411766,Historical
1967-11-01,19.00664705882353,Historical
1967-12-01,16.76773529411765,Historical
1968-01-01,15.001323529411765,Historical
1968-02-01,16.855970588235294,Historical
1968-03-01,21.54405882352941,Historical
1968-04-01,24.475441176470586,Historical
1968-05-01,26.766441176470586,Historical
1968-06-01,27.061470588235295,Historical
1968-07-01,25.677647058823528,Historical
1968-08-01,25.348676470588234,Historical
1968-09-01,25.510970588235296,Historical
1968-10-01,22.657382352941177,Historical
1968-11-01,19.653352941176472,Historical
1968-12-01,16.50385294117647,Historical
1969-01-01,15.599529411764706,Historical
1969-02-01,18.326676470588236,Historical
1969-03-01,23.15008823529412,Historical
1969-04-01,25.474441176470588,Historical
1969-05-01,27.086970588235292,Historical
1969-06-01,27.622676470588235,Historical
1969-07-01,25.98858823529412,Historical
1969-08-01,25.276735294117646,Historical
1969-09-01,24.85205882352941,Historical
1969-10-01,23.246764705882352,Historical
1969-11-01,20.43570588235294,Historical
1969-12-01,16.84476470588235,Historical
1970-01-01,15.83364705882353,Historical
1970-02-01,17.852441176470588,Historical
1970-03-01,21.70770588235294,Historical
1970-04-01,25.704911764705884,Historical
1970-05-01,27.710382352941178,Historical
1970-06-01,26.58391176470588,Historical
1970-07-01,25.898176470588236,Historical
1970-08-01,25.26420588235294,Historical
1970-09-01,24.899852941176473,Historical
1970-10-01,23.178823529411765,Historical
1970-11-01,19.18120588235294,Historical
1970-12-01,16.076882352941176,Historical
1971-01-01,15.420823529411765,Historical
1971-02-01,17.704676470588236,Historical
1971-03-01,21.69308823529412,Historical
